"Question #","Question Text","Answer 1","Answer 2","Answer 3 (Optional)","Answer 4 (Optional)","Time Limit (sec) (Max: 300 seconds)","Correct Answer(s) (Only include Answer #)"
"175","Concept: Central idea explains the big message in nonfiction. Question: Which sentence best states a central idea for an article about bridges?","Bridges are designed in different ways to help people cross obstacles.","One bridge is painted red.","Some bridges are older than others.","Cars drive across bridges each day.","40","1"
"176","Concept: Readers can identify which details support a main idea. Question: Which detail does NOT support the idea that school gardens teach responsibility?","Students take turns pulling weeds from the beds.","Students must remember to water the plants often.","The school gym floor was polished on Monday.","Students watch seeds sprout over time.","40","3"
"177","Concept: Author's purpose explains why an author includes information. Question: An article explains how volcanoes form. What is the author's purpose?","to persuade","to confuse","to entertain","to inform","35","4"
"178","Concept: Authors include sections for a reason. Question: What is the most likely reason an author includes a section called ""Fast Facts"" in an animal article?","To tell a funny story","To describe a character's problem","To present important information quickly","To show how to write a poem","40","3"
"179","Concept: Authors use photographs to support meaning. Question: What is the most likely reason an author includes a photograph of a school garden at the beginning of an article?","To show the ending of a story","To replace all the written facts","To introduce a made-up character","To show what the garden looks like before readers learn about it","40","4"
"180","Concept: Author's message can be found through events in a story. Question: A story shows a child trying new foods and discovering she likes them. What message is the author most likely sharing?","Trying something new can lead to good surprises.","Food should always look colorful.","Everyone should eat the same meal.","Cooking is easy for all children.","40","1"
"181","Concept: Headings support an author's purpose. Question: What is the most likely reason an author includes the heading ""Getting Ready"" in a how-to text?","To reveal the ending of the text","To describe a character's feelings","To show that the section explains what to do before starting","To list the author's favorite tools","40","3"
"182","Concept: Print features help authors teach readers. Question: What is the most likely reason an author prints a word in bold in nonfiction text?","To hide a clue from the reader","To show the text is a fantasy story","To replace a caption","To make an important word stand out","40","4"
"183","Concept: Authors use diagrams for a purpose. Question: What is the most likely reason an author includes a diagram of the water cycle?","To tell a joke about rain","To help readers understand how the parts work together","To introduce a main character","To show the author's opinion only","40","2"
"184","Concept: Authors include quotations to add meaning. Question: What is the most likely reason an author includes a gardener's quote in an article about community gardens?","To make the article shorter","To give readers a real person's point of view","To replace the need for facts","To hide the central idea","40","2"
"185","Concept: Poets repeat words for a reason. Question: What is the most likely reason a poet repeats the words ""step by step"" in a poem about climbing a hill?","To confuse the order of events","To describe a loud noise","To tell readers to skip the poem","To emphasize steady progress","40","4"
"186","Concept: An author's message can come from the ending. Question: A story ends with neighbors smiling as they share vegetables from a garden they built together. What message is the author most likely sharing?","Vegetables grow best in winter.","Working together can benefit everyone.","Gardens should only grow carrots.","Neighbors need fences between yards.","40","2"
"187","Concept: Text features help readers find and understand information. Question: Which text feature would best help a reader compare how fast different animals can run?","a cast list","a dialogue line","a graph","a chapter title","35","3"
"188","Concept: A timeline shows events in order. Question: Which text feature would best show the order of important events in a scientist's life?","a caption","a map","a timeline","a glossary","35","3"
"189","Concept: Diagrams help explain parts of something. Question: Which text feature would best show the parts of a flower?","a table of contents","a diagram with labels","a dialogue box","a poem","35","2"
"190","Concept: Captions explain pictures and diagrams. Question: What is the purpose of a caption under a photograph?","to replace the heading","to tell the ending of the text","to explain what the picture shows","to list every source used","35","3"
"191","Concept: Headings help readers know what a section is about. Question: What is the purpose of a heading in informational text?","to give the answer key","to show who wins a contest","to name the main character","to tell the topic of a section","35","4"
"192","Concept: Bold print helps key words stand out. Question: How does bold print help readers?","It replaces diagrams and maps.","It highlights important words or ideas.","It changes facts into opinions.","It puts events in order.","35","2"
"193","Concept: Photographs can support understanding. Question: What is the most likely purpose of a photograph in an article about penguins?","to show what penguins look like","to explain a math problem","to list every penguin species","to tell a make-believe story","35","1"
"194","Concept: Maps help readers locate places. Question: Which text feature would best help a reader see where deserts are found?","a poem stanza","a dialogue line","a glossary entry","a map","35","4"
"195","Concept: Tables help organize facts for comparison. Question: Which text feature would best compare the sizes of three planets?","a chapter heading","a stage direction","a table","a dedication","35","3"
"196","Concept: Bullets help present information clearly. Question: Why might an author use bullet points in a nonfiction article?","To list important facts clearly","To show who is speaking","To make the text rhyme","To hide the central idea","35","1"
"197","Concept: Italics can help emphasize or identify words. Question: What is the most likely reason an author uses italics for a word in a paragraph?","To turn the paragraph into poetry","To label a diagram","To show the word is important or special","To tell readers to skip the word","35","3"
"198","Concept: Labels identify parts in visuals. Question: What is the purpose of labels on a diagram of a bicycle?","to summarize the whole book","to explain how to write a paragraph","to show the main character's feelings","to name each part","35","4"
"199","Concept: Figurative language can help readers picture ideas. Question: What is the most likely reason an author writes, ""The cheetah shot forward like an arrow""?","To explain how arrows are built","To describe the color of the cheetah","To show the cheetah was made of wood","To highlight how fast the cheetah moved","40","4"
"200","Concept: Onomatopoeia sounds like the noise it names. Question: How does the word ""buzz"" help the reader?","It helps the reader hear the insect's sound.","It explains where the insect lives.","It shows the insect is colorful.","It tells the reader the insect is hungry.","35","1"
"201","Concept: Imagery appeals to the senses. Question: Which phrase best creates an image of a cold morning?","icy grass crunching under boots","a child reading after lunch","a blue backpack by the desk","a bell ringing after class","40","1"
"202","Concept: Sound words can add energy to writing. Question: What is the most likely reason a poet repeats the word ""whoosh"" in a poem about wind?","To help readers hear the strong wind","To explain the shape of the clouds","To show the wind is warm","To tell the reader the poem is nonfiction","40","1"
"203","Concept: Similes compare things to make meaning clearer. Question: What is the most likely reason an author writes, ""The pond was smooth as glass""?","To tell readers the pond was dangerous","To show how calm the water looked","To show the pond was very deep","To explain how ponds are made","40","2"
"204","Concept: Imagery helps readers picture a scene. Question: Which line best appeals to the sense of hearing?","The drums thumped through the gym.","The moon glowed above the trees.","The kitten curled on the pillow.","The cake looked golden and soft.","40","1"
"205","Concept: Imagery can help readers visualize a setting. Question: Which phrase best helps the reader picture a sunset?","shoes lined up by the door","books stacked near the wall","pencils rolling off the desk","orange light spilling across the sky","40","4"
"206","Concept: Similes can highlight an important quality. Question: What is the most likely reason an author writes, ""The ice cracked like glass""?","To help readers imagine the sharp breaking sound","To explain how glass is made","To compare winter to summer","To show the ice felt warm","40","1"
"207","Concept: Onomatopoeia can strengthen sound imagery. Question: What does the word ""clang"" suggest in a story about a fire station?","a smooth gentle movement","a soft whisper","a loud metal sound","a bright flash of light","35","3"
"208","Concept: Imagery uses strong details to create pictures in the mind. Question: Which phrase best creates imagery?","the title at the top of the page","interesting facts about spiders","students working in groups","silver rain tapping the window","40","4"
"209","Concept: Evidence supports an inference. Question: Which detail best supports the inference that Mia is nervous about speaking?","She wears a red sweater to school.","Her friends sit in the front row.","Her hands shake as she walks to the microphone.","The room is warm after lunch.","40","3"
"210","Concept: Readers can make inferences from details. Question: Leo packs extra water, a flashlight, and a map before the hike. What can the reader infer?","Leo wants to stay home.","Leo dislikes the other hikers.","Leo has never gone outside.","Leo is prepared for the trip.","40","4"
"211","Concept: Text evidence supports ideas about characters. Question: Which detail best supports the idea that the two boys are good friends?","They both like pizza.","They live on the same street.","They wear the same team shirt.","They save each other seats on the bus every day.","40","4"
"212","Concept: Good readers ask questions to deepen understanding. Question: Which question would best help a reader understand the key idea of a section called ""How Seeds Travel""?","What color are the seeds?","What are some ways seeds move to new places?","How many pages are in the book?","Who drew the picture on the page?","40","2"
"213","Concept: Evidence can support an inference about a setting. Question: Which detail best supports the idea that a storm is getting closer?","A bird sits on the fence.","The grass is bright green.","Thunder rumbles and the sky grows dark.","The mailbox is red.","40","3"
"214","Concept: Inferences come from clues in the text. Question: Mr. Chen smiles, claps softly, and says, ""You worked hard for this."" What can the reader infer?","Mr. Chen is confused.","Mr. Chen is in a hurry.","Mr. Chen is proud.","Mr. Chen is upset.","40","3"
"215","Concept: Readers can connect ideas across texts. Question: Text 1 tells about a girl learning to skateboard. Text 2 tells about a boy practicing piano. Which statement best shows a connection between the texts?","Both texts are about wild animals.","Both texts explain how machines work.","Both texts describe the same setting.","Both texts show that practice can help people improve.","40","4"
"216","Concept: Asking questions after reading can deepen understanding. Question: After reading an article about sharks, which question would best deepen understanding?","How many letters are in the title?","What color is the page border?","What day was the article printed?","How do sharks help keep ocean ecosystems balanced?","40","4"
"217","Concept: Evidence supports an inference about feelings. Question: Which detail best supports the inference that the dog misses its owner?","The dog has a blue collar.","The dog ate breakfast early.","The dog sleeps on a rug.","The dog waits by the door and whines at every passing car.","40","4"
"218","Concept: Inferences can show character traits. Question: Maya notices a classmate standing alone and invites him to join her group. What can the reader infer about Maya?","She is jealous.","She is impatient.","She is kind.","She is careless.","40","3"
"219","Concept: Readers can connect text ideas to real life. Question: An article explains how a school garden shares vegetables with families. What is one way this idea can help a community?","It removes the need for grocery stores.","It turns summer into winter.","It can provide fresh food for people nearby.","It makes every classroom larger.","40","3"
"220","Concept: Evidence should directly support a key idea. Question: Which detail best supports the idea that art can make a garden more interesting?","Gardens need soil and sunlight to grow.","Watering cans can be made of metal.","Many gardens are fenced in for safety.","Bright mosaics and painted signs add color and design to the space.","40","4"
"221","Concept: Inferences come from actions and clues. Question: A student rewrites his paragraph three times and asks for feedback each time. What can the reader infer?","He forgot the topic.","He is ready to quit writing.","He does not care about the assignment.","He wants to improve his work.","40","4"
"222","Concept: Good readers ask questions while reading. Question: Which question would best guide reading a section called ""Life in the Desert""?","How do plants and animals survive with little water?","What color is the cover of the book?","Who sharpened the author's pencils?","How many words are on the page?","40","1"
"223","Concept: The suffix -less means without. Question: What does painless mean?","pain again","pain before","without pain","full of pain","35","3"
"224","Concept: The suffix -less means without. Question: What does spotless mean?","full of spots","spot again","covered by spots","without spots","35","4"
"225","Concept: The suffix -less means without. Question: What does sleepless mean?","full of sleep","sleeping again","without sleep","before sleep","35","3"
"226","Concept: The suffix -less means without. Question: What does fearless mean?","without fear","fear before","full of fear","fear again","35","1"
"227","Concept: The suffix -less means without. Question: What does careless mean?","care before","care after","without care","with great care","35","3"
"228","Concept: The suffix -less means without. Question: What does harmless mean?","harm before","without harm","harm again","full of harm","35","2"
"229","Concept: The suffix -less means without. Question: What does powerless mean?","power again","before power","without power","full of power","35","3"
"230","Concept: The suffix -less means without. Question: What does endless mean?","without end","ending again","with an ending","before the end","35","1"
"231","Concept: The suffix -ful means full of. Question: What does thankful mean?","thanks again","full of thanks","without thanks","thanks before","35","2"
"232","Concept: The suffix -ful means full of. Question: What does careful mean?","full of care","without care","care too late","care before","35","1"
"233","Concept: The suffix -ful means full of. Question: What does playful mean?","full of play","without play","play before","play again","35","1"
"234","Concept: The suffix -ful means full of. Question: What does useful mean?","without use","full of use","used before","used again","35","2"
"235","Concept: The suffix -ful means full of. Question: What does colorful mean?","full of color","colored before","without color","colored again","35","1"
"236","Concept: The suffix -ful means full of. Question: What does peaceful mean?","peace before","full of peace","without peace","peace again","35","2"
"237","Concept: The suffix -ful means full of. Question: What does helpful mean?","help again","without help","help before","full of help","35","4"
"238","Concept: The suffix -ful means full of. Question: What does truthful mean?","full of truth","truth again","truth before","without truth","35","1"
"239","Concept: The suffix -ness names a state or condition. Question: What does darkness mean?","dark again","the state of being dark","without dark","before dark","35","2"
"240","Concept: The suffix -ness names a state or condition. Question: What does kindness mean?","not kind","the state of being kind","kind before","kind again","35","2"
"241","Concept: The suffix -ness names a state or condition. Question: What does sickness mean?","full of medicine","the state of being sick","before being sick","not sick","35","2"
"242","Concept: The suffix -ness names a state or condition. Question: What does weakness mean?","before weak","without weakness","weak again","the state of being weak","35","4"
"243","Concept: The suffix -ness names a state or condition. Question: What does softness mean?","not soft","soft again","the state of being soft","before soft","35","3"
"244","Concept: The suffix -ness names a state or condition. Question: What does sadness mean?","sad again","without sadness","sad before","the state of being sad","35","4"
"245","Concept: The suffix -ness names a state or condition. Question: What does stillness mean?","still again","without stillness","the state of being still","moving quickly","35","3"
"246","Concept: The suffix -ness names a state or condition. Question: What does brightness mean?","bright again","the state of being bright","without light","before bright","35","2"
"247","Concept: The suffix -y can mean full of. Question: What does rainy mean?","rain again","rain before","full of rain","without rain","35","3"
"248","Concept: The suffix -y can mean full of. Question: What does snowy mean?","snow again","before snow","full of snow","without snow","35","3"
"249","Concept: The suffix -y can mean full of. Question: What does muddy mean?","without mud","mud before","full of mud","mud again","35","3"
"250","Concept: The suffix -y can mean full of. Question: What does dusty mean?","without dust","before dust","full of dust","dust again","35","3"
"251","Concept: The suffix -y can mean full of. Question: What does foggy mean?","full of fog","before fog","fog again","without fog","35","1"
"252","Concept: The suffix -y can mean full of. Question: What does rocky mean?","without rocks","full of rocks","rocks again","before rocks","35","2"
"253","Concept: The suffix -y can mean full of. Question: What does noisy mean?","noise again","before noise","quiet","full of noise","35","4"
"254","Concept: The suffix -y can mean full of. Question: What does windy mean?","without wind","wind before","full of wind","wind again","35","3"
"255","Concept: The prefix pre- means before. Question: What does preview mean?","to view before","to view again","to view without","to view after","35","1"
"256","Concept: The prefix pre- means before. Question: What does preheat mean?","to heat before","to heat without","to heat again","to heat later","35","1"
"257","Concept: The prefix pre- means before. Question: What does preschool mean?","school only at night","school without teachers","school after college","school before first grade","35","4"
"258","Concept: The prefix pre- means before. Question: What does pretest mean?","a test repeated twice","a test after learning","a test with no questions","a test before the main lesson or unit","35","4"
"259","Concept: The prefix dis- often means not. Question: What does dislike mean?","to like a lot","to like again","to like before","to not like","35","4"
"260","Concept: The prefix dis- often means not. Question: What does dishonest mean?","honest again","honest before","not honest","very honest","35","3"
"261","Concept: The prefix dis- often means not. Question: What does disobey mean?","to obey quickly","to obey again","to obey later","to not obey","35","4"
"262","Concept: The prefix dis- often means not. Question: What does disagree mean?","to not agree","to agree strongly","to agree again","to agree later","35","1"
"263","Concept: The prefix in- often means not. Question: What does incorrect mean?","correct again","correct before","not correct","very correct","35","3"
"264","Concept: The prefix in- often means not. Question: What does inactive mean?","very active","active before","not active","active again","35","3"
"265","Concept: The prefix in- often means not. Question: What does incomplete mean?","complete before","finished all the way","not complete","complete again","35","3"
"266","Concept: The prefix in- often means not. Question: What does invisible mean?","not visible","seen before","visible again","easy to see","35","1"
"267","Concept: The prefix non- means not. Question: What does nonfiction mean?","not fiction","full of fiction","fiction before","fiction again","35","1"
"268","Concept: The prefix non- means not. Question: What does nonstop mean?","easy to stop","stopping before","stopping again","without stopping","35","4"
"269","Concept: The prefix im- often means not. Question: What does impossible mean?","very possible","not possible","possible again","possible before","35","2"
"270","Concept: The prefix im- often means not. Question: What does impatient mean?","not patient","patient before","patient again","full of patience","35","1"
"271","Concept: The prefix im- often means not. Question: What does impolite mean?","very polite","polite before","not polite","polite again","35","3"
"272","Concept: The prefix im- often means not. Question: What does immature mean?","mature before","not mature","very mature","mature again","35","2"
"273","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for rapid?","careful","quiet","sleepy","quick","35","4"
"274","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for silent?","bright","rough","quiet","crowded","35","3"
"275","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for begin?","hide","finish","sleep","start","35","4"
"276","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for ancient?","smooth","tiny","old","modern","35","3"
"277","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for narrow?","wide","gentle","loud","thin","35","4"
"278","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for sturdy?","strong","slippery","angry","weak","35","1"
"279","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for vanish?","disappear","stretch","appear","wander","35","1"
"280","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for clever?","plain","sleepy","smart","messy","35","3"
"281","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for purchase?","buy","drop","lose","borrow","35","1"
"282","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for choose?","forget","guess","pick","push","35","3"
"283","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for gentle?","wild","loud","soft","empty","35","3"
"284","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for enormous?","narrow","tiny","huge","clear","35","3"
"285","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for reply?","climb","answer","question","paint","35","2"
"286","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for peaceful?","hungry","calm","dusty","stormy","35","2"
"287","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for cheerful?","shallow","angry","happy","plain","35","3"
"288","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for repair?","measure","fix","shake","break","35","2"
"289","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for tiny?","small","fancy","noisy","heavy","35","1"
"290","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for discover?","erase","hide","miss","find","35","4"
"291","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for protect?","guard","trade","scatter","melt","35","1"
"292","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for ordinary?","common","stormy","brave","glittering","35","1"
"293","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for furious?","angry","tidy","quick","careful","35","1"
"294","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for glossy?","sleepy","dark","shiny","rough","35","3"
"295","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for difficult?","gentle","hard","open","easy","35","2"
"296","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for damp?","slightly wet","loud","dry","careful","35","1"
"297","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for fragile?","strong","easy to break","smooth","wide","35","2"
"298","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of ancient?","old","late","wide","new","35","4"
"299","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of generous?","selfish","friendly","kind","helpful","35","1"
"300","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of noisy?","crowded","messy","bright","quiet","35","4"
"301","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of cloudy?","stormy","dusty","dark","clear","35","4"
"302","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of narrow?","wide","silent","slim","gentle","35","1"
"303","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of empty?","smooth","full","near","blank","35","2"
"304","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of early?","sunny","quick","late","first","35","3"
"305","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of rough?","sharp","smooth","plain","dusty","35","2"
"306","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of safe?","silent","simple","calm","dangerous","35","4"
"307","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of strong?","solid","sturdy","weak","ready","35","3"
"308","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of cheerful?","thankful","excited","sad","happy","35","3"
"309","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of careful?","careless","quiet","sleepy","common","35","1"
"310","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of open?","bright","closed","large","brave","35","2"
"311","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of above?","beside","near","through","below","35","4"
"312","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of gentle?","kind","harsh","smooth","slow","35","2"
"313","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of bright?","sunny","shiny","dim","clear","35","3"
"314","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of victory?","defeat","cheer","contest","prize","35","1"
"315","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of ancient?","brave","empty","modern","old","35","3"
"316","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of timid?","sleepy","quiet","brave","gentle","35","3"
"317","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of include?","invite","cover","exclude","gather","35","3"
"318","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of bright?","dark","glossy","clear","sunny","35","1"
"319","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of improve?","build","practice","repair","worsen","35","4"
"320","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of upward?","downward","outward","faster","nearby","35","1"
"321","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of fresh?","light","cool","soft","stale","35","4"
"322","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of ancient?","historic","brand-new","aged","dusty","35","2"
"323","Concept: Some words have more than one meaning. Question: In the sentence ""They sat on the bank of the river,"" what does bank mean?","a row of chairs","the edge of land by water","a pile of snow","a place for money","40","2"
"324","Concept: Some words have more than one meaning. Question: In the sentence ""The bark on the tree felt rough,"" what does bark mean?","the outer covering of a tree","the sound a dog makes","a kind of leaf","a quick jump","40","1"
"325","Concept: Some words have more than one meaning. Question: In the sentence ""This backpack is light,"" what does light mean?","fire from a match","not heavy","a lamp","a bright flash","40","2"
"326","Concept: Some words have more than one meaning. Question: In the sentence ""A bat flew out of the cave,"" what does bat mean?","sports equipment","a flying animal","a small boat","a hat","40","2"
"327","Concept: Some words have more than one meaning. Question: In the sentence ""Flowers bloom in spring,"" what does spring mean?","a season","a metal coil","a deep well","a quick jump","40","1"
"328","Concept: Some words have more than one meaning. Question: In the sentence ""The traffic jam made us late,"" what does jam mean?","a metal tool","fruit spread","a loud song","cars stuck together","40","4"
"329","Concept: Some words have more than one meaning. Question: In the sentence ""What kind of bird is that?"" what does kind mean?","a loud sound","nice behavior","a type","a small gift","40","3"
"330","Concept: Some words have more than one meaning. Question: In the sentence ""Watch the turtle cross the path,"" what does watch mean?","to turn around","to look carefully","to fix something","a timepiece","40","2"
"331","Concept: Some words have more than one meaning. Question: In the sentence ""We heard the ring of the bell,"" what does ring mean?","a circular mark","a game","a piece of jewelry","a sound","40","4"
"332","Concept: Some words have more than one meaning. Question: In the sentence ""The teacher made a fair rule,"" what does fair mean?","just","a carnival","light-colored","windy","40","1"
"333","Concept: Some words have more than one meaning. Question: In the sentence ""Be careful not to trip on the rug,"" what does trip mean?","to clap loudly","a shoe","a journey","to stumble","40","4"
"334","Concept: Some words have more than one meaning. Question: In the sentence ""These socks match,"" what does match mean?","to go together","a stick for fire","a sports game","to smell alike","40","1"
"335","Concept: Some words have more than one meaning. Question: In the sentence ""Duck when the ball comes close!"" what does duck mean?","a bird","to swim slowly","to lower your head","to call for help","40","3"
"336","Concept: Some words have more than one meaning. Question: In the sentence ""Please seal the box,"" what does seal mean?","to draw a circle","an ocean animal","to close tightly","to carry outside","40","3"
"337","Concept: Some words have more than one meaning. Question: In the sentence ""Mom left a note on the table,"" what does note mean?","a loud song","a shiny coin","a short message","a warm blanket","40","3"
"338","Concept: Some words have more than one meaning. Question: In the sentence ""The elephant lifted its trunk,"" what does trunk mean?","a road sign","a large nose-like body part","the middle of a tree","a suitcase","40","2"
"339","Concept: Some words have more than one meaning. Question: In the sentence ""The leaves began to fall,"" what does leaves mean?","green paint","small flowers","goes away","parts of a tree","40","4"
"340","Concept: Some words have more than one meaning. Question: In the sentence ""The current in the river was strong,"" what does current mean?","a gift","electrical power","flow of water","happening now","40","3"
"341","Concept: Some words have more than one meaning. Question: In the sentence ""The pencil has a sharp point,"" what does point mean?","the sharp end","a reason to argue","a score in a game","to aim a finger","40","1"
"342","Concept: Some words have more than one meaning. Question: In the sentence ""A metal can rolled across the floor,"" what does can mean?","to be able to","a container","a loud noise","to stop","40","2"
"343","Concept: Some words have more than one meaning. Question: In the sentence ""We will park beside the store,"" what does park mean?","to draw a map","to leave a car in one place","an area with swings and trees","to run in a race","40","2"
"344","Concept: Some words have more than one meaning. Question: In the sentence ""A row of chairs lined the wall,"" what does row mean?","a straight line","a noisy argument","a piece of rope","to move a boat","40","1"
"345","Concept: Some words have more than one meaning. Question: In the sentence ""Please check your answers,"" what does check mean?","to close a door","to look over carefully","to stop moving","paper used to pay","40","2"
"346","Concept: Some words have more than one meaning. Question: In the sentence ""The crowd gave a wave as the bus left,"" what does wave mean?","a piece of cloth","a motion with the hand","a kind of plant","water moving in the sea","40","2"
"347","Concept: Some words have more than one meaning. Question: In the sentence ""It takes time to train a puppy,"" what does train mean?","to paint carefully","to tie with rope","to teach through practice","a long vehicle on tracks","40","3"
"348","Concept: Some words have more than one meaning. Question: In the sentence ""There was only one cookie left,"" what does left mean?","slow to move","opposite of right","remaining","went away","40","3"
"349","Concept: Some words have more than one meaning. Question: In the sentence ""Mila chose the right answer,"" what does right mean?","the opposite of left","fair","bright","correct","40","4"
"350","Concept: Some words have more than one meaning. Question: In the sentence ""Put the papers in the file,"" what does file mean?","a tool with rough edges","a folder for papers","to walk in a line","a noisy machine","40","2"
"351","Concept: Some words have more than one meaning. Question: In the sentence ""The chess club meets after school,"" what does club mean?","a heavy stick","a kind of cap","a dance move","a group with the same interest","40","4"
"352","Concept: Some words have more than one meaning. Question: In the sentence ""Circle the date on the calendar,"" what does date mean?","a loud sound","a kind of fruit","a place to sit","the day and month","40","4"
"353","Concept: Some words have more than one meaning. Question: In the sentence ""Jada is a bright student,"" what does bright mean?","very noisy","full of color","shining with light","smart","40","4"
"354","Concept: Some words have more than one meaning. Question: In the sentence ""A pitcher of lemonade sat on the table,"" what does pitcher mean?","a type of hat","a baseball player","a scorekeeper","a large container for pouring drinks","40","4"
"355","Concept: Some words have more than one meaning. Question: In the sentence ""The ruler measured the line,"" what does ruler mean?","a person in charge of a country","a sheet of paper","a sharp pencil","a measuring tool","40","4"
"356","Concept: Some words have more than one meaning. Question: In the sentence ""The nail bent when it hit the wood,"" what does nail mean?","a tree branch","a kind of brush","part of a finger","a small metal fastener","40","4"
"357","Concept: Some words have more than one meaning. Question: In the sentence ""The teams ended with a tie,"" what does tie mean?","a neckpiece","to fasten with string","to turn a page","the same score","40","4"
"358","Concept: Some words have more than one meaning. Question: In the sentence ""I am a big fan of that team,"" what does fan mean?","a tool that blows air","someone who really likes something","a paper chart","a kind of bird","40","2"
"359","Concept: Some words have more than one meaning. Question: In the sentence ""She held the shell in her palm,"" what does palm mean?","a kind of tree","a large leaf","the bottom of a shoe","the inside of a hand","40","4"
"360","Concept: Some words have more than one meaning. Question: In the sentence ""We will order our lunch now,"" what does order mean?","arrangement of things","to write a poem","to ask for food","to clean the table","40","3"
"361","Concept: Some words have more than one meaning. Question: In the sentence ""They boarded the train at noon,"" what does board mean?","to get on a vehicle","to draw a line","to close a window","a flat piece of wood","40","1"
"362","Concept: Some words have more than one meaning. Question: In the sentence ""The store gave Mom her change,"" what does change mean?","money returned after paying","to become different","to trade places","to shift a chair","40","1"
"363","Concept: Some words have more than one meaning. Question: In the sentence ""A cold draft came under the door,"" what does draft mean?","cool moving air","a first version of writing","a group of horses","a deep puddle","40","1"
"364","Concept: Some words have more than one meaning. Question: In the sentence ""The crane lifted the steel beam,"" what does crane mean?","a tall bird","a machine for lifting heavy things","a river crossing","a kind of truck tire","40","2"
"365","Concept: Some words have more than one meaning. Question: In the sentence ""The players ran onto the court,"" what does court mean?","a high hill","a kind of blanket","a place for sports games","a judge's room","40","3"
"366","Concept: Some words have more than one meaning. Question: In the sentence ""There is a bug in the computer program,"" what does bug mean?","an insect","a loud beep","a tiny battery","a problem or mistake","40","4"
"367","Concept: Some words have more than one meaning. Question: In the sentence ""The batter held the bat tightly,"" what does bat mean?","a flying animal","sports equipment used to hit a ball","a winter coat","a long rope","40","2"
"368","Concept: Some words have more than one meaning. Question: In the sentence ""The star of the play took a bow,"" what does star mean?","a shape in the sky","a science tool","the main performer","a shiny sticker","40","3"
"369","Concept: Some words have more than one meaning. Question: In the sentence ""The coach left after the game,"" what does coach mean?","a school subject","a small bag","a long bus","a sports leader","40","4"
"370","Concept: Some words have more than one meaning. Question: In the sentence ""Please file into the room quietly,"" what does file mean?","a folder for papers","a rough metal tool","to move in a line","a type of game","40","3"
"371","Concept: Some words have more than one meaning. Question: In the sentence ""The rock boat began to rock in the wind,"" what does rock mean in the second use?","to close tightly","to sing loudly","to move back and forth","a stone","40","3"
"372","Concept: Some words have more than one meaning. Question: In the sentence ""The captain will point to the map,"" what does point mean?","a sharp end","a score in a game","an important idea","to aim with a finger","40","4"
"373","Concept: Some words have more than one meaning. Question: In the sentence ""The check arrived at the restaurant table,"" what does check mean?","paper that shows the amount to pay","a careful look","a game mark","a stopped motion","40","1"
